Account,AccountDesc,TransDesc,Debit,Credit,Period,JnlNo,JnlDesc,Amount,JnlPrep,JnlAuth,JnlDateTime
00-80-8033,Provision for Sales Schemes,ZZX,0,9668.591556886211,2019-1,1,Reversed By Jnl 2019-9 Journal No. 277,-9668.591556886211,HV09,AS13,2019-01-01 13:04
00-10-1002,Provisions - Trade Sales,XXX,9668.591556886211,0,2019-1,1,Reversed By Jnl 2019-9 Journal No. 277,9668.591556886211,HV09,AS13,2019-01-01 13:04
00-80-8033,Provision for Sales Schemes,ZZX,0,291191.2980804763,2019-1,1,Reversed By Jnl 2019-9 Journal No. 277,-291191.2980804763,HV09,AS13,2019-01-01 13:04
00-10-1001,Trade Sale Recycle Scheme,ZZZ,291191.2980804763,0,2019-1,1,Reversed By Jnl 2019-9 Journal No. 277,291191.2980804763,HV09,AS13,2019-01-01 13:04
00-20-2004,Provision for Obselete Inventory,923,0,12848.502053325103,2019-1,10,Reversed By Jnl 2019-4 Journal No. 366,-12848.502053325103,DF18,TC01,2019-01-30 09:56
00-80-8028,Provisions - Stock Write-downs,XZX,12848.502053325103,0,2019-1,10,Reversed By Jnl 2019-4 Journal No. 366,12848.502053325103,DF18,TC01,2019-01-30 09:56
00-20-2004,Provision for Obselete Inventory,1212,0,24839.412554841747,2019-3,100,Reversed By Jnl 2019-7 Journal No. 285,-24839.412554841747,DF18,AM04,2019-03-30 16:55
00-80-8028,Provisions - Stock Write-downs,XZX,24839.412554841747,0,2019-3,100,Reversed By Jnl 2019-7 Journal No. 285,24839.412554841747,DF18,AM04,2019-03-30 16:55
00-80-8027,Other Stock Costs,ZZZ,0,1101.9645731014014,2019-3,101,,-1101.9645731014014,GL06,AM04,2019-03-30 10:59
00-80-8027,Other Stock Costs,ZZZ,8394.136231067852,0,2019-3,101,,8394.136231067852,GL06,AM04,2019-03-30 10:59
00-20-2011,Inventory Adjustment,624,0,8394.136231067852,2019-3,101,,-8394.136231067852,GL06,AM04,2019-03-30 10:59
